Directory Name,URL,Domain Authority,Category,Cost,Priority,Status,Date Submitted,Username,Password,Link Live Date,Link URL,Notes
Google My Business,business.google.com,95,Local,Free,Critical,Pending,,,,,,Verify by postcard
Bing Places,bingplaces.com,92,Local,Free,High,Pending,,,,,,Instant approval
Apple Maps,mapsconnect.apple.com,90,Local,Free,High,Pending,,,,,,Need Apple ID
Facebook Business,business.facebook.com,96,Social,Free,High,Pending,,,,,,Link in About section
Yelp Business,biz.yelp.com,93,Review,Free,Critical,Pending,,,,,,Critical for local SEO
Better Business Bureau,bbb.org,91,Trust,$500/year,Critical,Pending,,,,,,A+ rating boost
Yellow Pages,yellowpages.com,88,Directory,Free,Medium,Pending,,,,,,Standard listing
Manta,manta.com,78,Business,Free,Medium,Pending,,,,,,Business directory
Merchant Circle,merchantcircle.com,65,Local,Free,Low,Pending,,,,,,Local business
Foursquare,foursquare.com,85,Local,Free,Medium,Pending,,,,,,Location-based
Anaheim Chamber,anaheimchamber.org,55,$395/year,Local,High,Pending,,,,,,Member directory link
Santa Ana Chamber,santaanachamber.com,52,$350/year,Local,High,Pending,,,,,,Member directory link
Irvine Chamber,irvinechamber.com,58,$475/year,Local,High,Pending,,,,,,Member directory link
Huntington Beach Chamber,hbchamber.com,54,$395/year,Local,High,Pending,,,,,,Member directory link
Costa Mesa Chamber,costamesachamber.com,50,$350/year,Local,Medium,Pending,,,,,,Member directory link
Newport Beach Chamber,newportbeach.com,56,$425/year,Local,High,Pending,,,,,,Member directory link
Orange Chamber,orangechamber.com,48,$325/year,Local,Medium,Pending,,,,,,Member directory link
Fullerton Chamber,fullertonchamber.com,49,$350/year,Local,Medium,Pending,,,,,,Member directory link
Garden Grove Chamber,gardengrovechamber.com,47,$325/year,Local,Medium,Pending,,,,,,Member directory link
Mission Viejo Chamber,missionviejochamber.com,51,$395/year,Local,Medium,Pending,,,,,,Member directory link
Laguna Beach Chamber,lagunabeachchamber.org,53,$375/year,Local,Medium,Pending,,,,,,Member directory link
Westminster Chamber,westminsterchamber.org,45,$295/year,Local,Low,Pending,,,,,,Member directory link
Fountain Valley Chamber,fvchamber.com,46,$325/year,Local,Low,Pending,,,,,,Member directory link
Yorba Linda Chamber,yorbalindachamber.org,48,$350/year,Local,Medium,Pending,,,,,,Member directory link
Seal Beach Chamber,sealbeachchamber.org,44,$295/year,Local,Low,Pending,,,,,,Member directory link
Dana Point Chamber,danapointchamber.com,47,$350/year,Local,Medium,Pending,,,,,,Member directory link
Laguna Niguel Chamber,lnchamber.com,49,$375/year,Local,Medium,Pending,,,,,,Member directory link
Laguna Woods Chamber,lagunawoodschamber.com,43,$275/year,Local,Low,Pending,,,,,,Member directory link
NFCC Directory,nfcc.org,82,Industry,Free,High,Pending,,,,,,Credit counseling industry
CFPB Service Provider,consumerfinance.gov,95,Government,Free,Critical,Pending,,,,,,Government backing
AFCC Directory,americanfaircreditcouncil.org,68,Industry,Free,High,Pending,,,,,,Industry credibility
IAPDA,iapda.org,62,Industry,Free,Medium,Pending,,,,,,Professional association
OC Register Directory,ocregister.com,91,Media,Free,Critical,Pending,,,,,,Local media link
Voice of OC,voiceofoc.org,58,Media,Free,High,Pending,,,,,,Local news site
OC Business Journal,ocbj.com,65,Business,Free,High,Pending,,,,,,Business publication
SlideShare,slideshare.net,95,Content,Free,Medium,Pending,,,,,,Upload debt report
Scribd,scribd.com,93,Content,Free,Medium,Pending,,,,,,Upload guides
Issuu,issuu.com,90,Content,Free,Medium,Pending,,,,,,Upload reports
Docstoc,docstoc.com,75,Content,Free,Low,Pending,,,,,,Document sharing
Orange County Record,ocrecord.com,48,Media,Free,Medium,Pending,,,,,,Local news
Coast Magazine,coastmagazine.com,48,Lifestyle,Free,Medium,Pending,,,,,,OC lifestyle mag
Irvine Weekly,irvineweekly.com,52,Media,Free,High,Pending,,,,,,Local Irvine news
Patch Orange County,patch.com,85,Local News,Free,High,Pending,,,,,,Hyperlocal news
Nextdoor Business,business.nextdoor.com,88,Local,Free,High,Pending,,,,,,Neighborhood app
